DATE				SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat
DD-HH				BACK	-94.21	57.71		FSIM	-121.23	61.76		FSMI	-111.95	60.02		GILL	-94.64	56.38		GULL	-108.26	50.06		MCMU	-111.21	56.66		PINA	-96.04	50.2		RANK	-92.11	62.82		THRF	-96.36	48.03		WGRY	-120.03	51.88		BLC	-96.01	64.32		IQA	-68.52	63.75		MEA	-113.35	54.62		OTT	-75.55	45.4		RES	-94.89	74.69		STJ	-52.68	47.6		VIC	-123.42	48.52

				max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)
05-19				28.4				22.49				19.44				20.77				20.83				30.93				26.56				23.5				154.06				15.47				28.59				48.34								12.49				102.5				14.36				28.4
05-20				22.28				22.65				20.7				17.2				17.2				29.15				21.69				19.25				165.27				16.33				23.86				43.28								13.74				129.7				13.87				22.28
05-21				22.16				20.47				19.29				25.56				25.56				13.13				25.54				30.49				176.16				17.28				29.62				49.08								14.72				61.31				11.11				11.35
05-22				22.27				17.91				17.59				27.63				11.51				14.27				22.01				28.9				156.58				11.16				34.15				36.04								17.67				51.19				14.84				8.38
05-23				23.3				20.98				22.33				26.82				12.1				14.73				20.71				31.91				149.4				12.65				34.06				45.98								8.11				58.59				4.95				14.3
05-24				18.07				28.01				19.69				24.25				13.45				14.2				14.39				17.17				167.16				14.94				17.19				32.45								6.98				22.76				4.43				15.12
06-01				7.36				27.45				15.46				16.37				7.03				10.11				9.43				11.83				144.44				7.74				16.45				18.37								4.05				32.72				3.38				7.36
06-02				5.53				17.02				11.85				14.32				7.23				10.5				7.58				17.49				144.32				8.89				22.98				19.56								3.25				36.47				2.78				5.53
06-03				4.53				23.34				11.91				24.84				6.3				7.64				6.53				17.73				155.35				7.44				18.26				52.96								3.06				23.67				2.52				4.53
06-04				8.25				30.39				21.53				23.18				10.54				15.26				13.48				26.57				144.89				12.61				29.01				34.75								6.4				66.56				5.98				8.25
06-05				9.94				34.44				26.8				37.02				12.11				19.21				13.28				40.15				152.66				15.26				31.33				99.06								9.51				40.23				10.19				9.94
06-06				4.93				18.01				9.34				8.86				5.65				8.78				10.98				20.28				139.82				26.34				19.04				54.99								3.46				18.18				4.34				4.93
06-07				6.23				17.75				12.31				12.31				6.77				7.73				13.56				15.41				141.46				7.87				12.55				44.22								7.7				22.2				8.3				6.23
06-08				9.37				52.74				66.36				66.36				12.4				22.79				14.5				33.87				143.31				13.56				30.77				43.68								7.05				16.7				4.58				9.37
06-09				9.08				47.76				43.65				27.35				11.93				18.31				18.92				50.92				142.35				12.34				43.29				41.32								8.15				26.8				11.42				9.08
06-10				4.35				25.29				25.64				26.81				7.47				9.69				11.23				46.82				142.44				6.46				33.9				55.11								14.31				20.38				19.22				4.35
06-11				4.37				17.19				16.08				27.12				6.46				9.64				10.8				42.85				139.57				7.04				45.62				75.45								7.79				67.63				15.01				4.37
06-12				3.3				14.64				9.31				17.35				5.48				8.82				6.28				24.51				130.54				4.66				33.35				35.97								9.9				54.69				13.47				3.3
06-13				12.94				38.32				35.26				65.44				19.47				23.83				19.17				84.98				125.05				17.38				97.76				211.0								26.41				71.21				20.59				12.94
06-14				5.69				20.2				18.19				26.71				8.22				9.4				15.46				41.1				130.98				7.33				51.69				72.45								19.8				70.93				15.97				5.69
06-15				6.46				15.71				14.65				23.62				11.31				10.31				15.28				24.98				128.76				9.13				23.93				28.74								21.05				54.1				15.27				6.46
06-16				18.81				43.23				36.4				50.92				27.8				30.63				26.68				58.49				164.25				22.71				64.37				60.29								24.03				112.47				15.07				18.81
06-17				16.02				16.86				20.15				25.61				21.73				20.35				27.08				31.58				156.93				20.6				28.73				77.59								18.82				187.58				13.73				16.02
